year,term,value,source,corpus,smoothing,case_sensitive,query_group
1892,artificial ingredients,1.838411783916527e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1893,artificial ingredients,6.936671792523441e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1894,artificial ingredients,1.7418415321213132e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1895,artificial ingredients,1.598542825886895e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1896,artificial ingredients,3.1886385198909295e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1897,artificial ingredients,7.712681604488125e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1898,artificial ingredients,1.3519867447797651e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1899,artificial ingredients,4.238297213188247e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1900,artificial ingredients,5.438063332974252e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1901,artificial ingredients,6.49778231220921e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1902,artificial ingredients,6.504999316980786e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1903,artificial ingredients,1.5213221793430876e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1904,artificial ingredients,1.1266787502961506e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1905,artificial ingredients,1.2109742375532306e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1906,artificial ingredients,3.4500402534831665e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1907,artificial ingredients,2.718676173074641e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1908,artificial ingredients,1.1241649833237943e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1909,artificial ingredients,2.224583850463091e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1910,artificial ingredients,3.1061775374041645e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1911,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1912,artificial ingredients,1.4047622926005587e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1913,artificial ingredients,1.4655686109144028e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1914,artificial ingredients,1.0421103424640421e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1915,artificial ingredients,3.9855918565478987e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1916,artificial ingredients,2.9698649095522e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1917,artificial ingredients,7.924652045687708e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1918,artificial ingredients,5.3770926600194e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1919,artificial ingredients,8.023521846922677e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1920,artificial ingredients,1.4373952028634562e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1921,artificial ingredients,2.8664912110620833e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1922,artificial ingredients,6.624511078578976e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1923,artificial ingredients,7.44475411873502e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1924,artificial ingredients,2.649564734280574e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1925,artificial ingredients,3.9639874716002055e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1926,artificial ingredients,1.5995234026178196e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1927,artificial ingredients,6.262506624388209e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1928,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1929,artificial ingredients,9.172087533926288e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1930,artificial ingredients,1.159396800787249e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1931,artificial ingredients,3.3448654956913515e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1932,artificial ingredients,4.387956109574986e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1933,artificial ingredients,9.5748586836919e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1934,artificial ingredients,1.304672064827983e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1935,artificial ingredients,1.4778938073334302e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1936,artificial ingredients,2.6624600302227464e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1937,artificial ingredients,1.1455761339540516e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1938,artificial ingredients,5.731281005338928e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1939,artificial ingredients,5.510357725668769e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1940,artificial ingredients,1.1264384980336217e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1941,artificial ingredients,1.1319809534171554e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1942,artificial ingredients,2.427403555937957e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1943,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1944,artificial ingredients,5.279868764418438e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1945,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1946,artificial ingredients,2.1043054798663974e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1947,artificial ingredients,7.884219596632214e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1948,artificial ingredients,9.416101925951992e-11,Google Books Ngram Viewer,en,0,false,consumer_packaging
1949,artificial ingredients,4.379350770911117e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1950,artificial ingredients,1.277316474812551e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1951,artificial ingredients,1.2278509459173748e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1952,artificial ingredients,1.486635821390525e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1953,artificial ingredients,1.0750073053955589e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1954,artificial ingredients,2.0644476683706614e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1955,artificial ingredients,2.4272023280147437e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1956,artificial ingredients,8.596317546682997e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1957,artificial ingredients,7.48673789630061e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1958,artificial ingredients,4.573328729606807e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1959,artificial ingredients,1.1234720376229745e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1960,artificial ingredients,2.777287955169072e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1961,artificial ingredients,1.5153553967195421e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1962,artificial ingredients,4.3536441118874336e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
