ngram	year	match_count	volume_count	ngram_order	corpus_release	source_shard	wide_field_index
forevermore	1818	34	29	1	googlebooks-eng-20200217	1-00018-of-00024.gz	100
forevermore	1819	31	24	1	googlebooks-eng-20200217	1-00018-of-00024.gz	101
forevermore	1820	48	37	1	googlebooks-eng-20200217	1-00018-of-00024.gz	102
forevermore	1821	62	40	1	googlebooks-eng-20200217	1-00018-of-00024.gz	103
forevermore	1822	58	48	1	googlebooks-eng-20200217	1-00018-of-00024.gz	104
forevermore	1823	46	36	1	googlebooks-eng-20200217	1-00018-of-00024.gz	105
forevermore	1824	106	56	1	googlebooks-eng-20200217	1-00018-of-00024.gz	106
forevermore	1825	42	37	1	googlebooks-eng-20200217	1-00018-of-00024.gz	107
forevermore	1826	56	47	1	googlebooks-eng-20200217	1-00018-of-00024.gz	108
forevermore	1827	58	37	1	googlebooks-eng-20200217	1-00018-of-00024.gz	109
forevermore	1828	67	51	1	googlebooks-eng-20200217	1-00018-of-00024.gz	110
forevermore	1829	133	73	1	googlebooks-eng-20200217	1-00018-of-00024.gz	111
forevermore	1830	136	82	1	googlebooks-eng-20200217	1-00018-of-00024.gz	112
forevermore	1831	172	93	1	googlebooks-eng-20200217	1-00018-of-00024.gz	113
forevermore	1832	112	89	1	googlebooks-eng-20200217	1-00018-of-00024.gz	114
forevermore	1833	142	94	1	googlebooks-eng-20200217	1-00018-of-00024.gz	115
forevermore	1834	149	107	1	googlebooks-eng-20200217	1-00018-of-00024.gz	116
forevermore	1835	143	83	1	googlebooks-eng-20200217	1-00018-of-00024.gz	117
forevermore	1836	115	87	1	googlebooks-eng-20200217	1-00018-of-00024.gz	118
forevermore	1837	162	107	1	googlebooks-eng-20200217	1-00018-of-00024.gz	119
forevermore	1838	171	109	1	googlebooks-eng-20200217	1-00018-of-00024.gz	120
forevermore	1839	187	118	1	googlebooks-eng-20200217	1-00018-of-00024.gz	121
forevermore	1840	147	86	1	googlebooks-eng-20200217	1-00018-of-00024.gz	122
forevermore	1841	204	147	1	googlebooks-eng-20200217	1-00018-of-00024.gz	123
forevermore	1842	224	173	1	googlebooks-eng-20200217	1-00018-of-00024.gz	124
forevermore	1843	244	151	1	googlebooks-eng-20200217	1-00018-of-00024.gz	125
forevermore	1844	265	171	1	googlebooks-eng-20200217	1-00018-of-00024.gz	126
forevermore	1845	303	193	1	googlebooks-eng-20200217	1-00018-of-00024.gz	127
forevermore	1846	410	223	1	googlebooks-eng-20200217	1-00018-of-00024.gz	128
forevermore	1847	305	178	1	googlebooks-eng-20200217	1-00018-of-00024.gz	129
forevermore	1848	322	193	1	googlebooks-eng-20200217	1-00018-of-00024.gz	130
forevermore	1849	346	197	1	googlebooks-eng-20200217	1-00018-of-00024.gz	131
forevermore	1850	580	233	1	googlebooks-eng-20200217	1-00018-of-00024.gz	132
forevermore	1851	443	253	1	googlebooks-eng-20200217	1-00018-of-00024.gz	133
forevermore	1852	405	293	1	googlebooks-eng-20200217	1-00018-of-00024.gz	134
forevermore	1853	431	270	1	googlebooks-eng-20200217	1-00018-of-00024.gz	135
forevermore	1854	532	319	1	googlebooks-eng-20200217	1-00018-of-00024.gz	136
forevermore	1855	550	333	1	googlebooks-eng-20200217	1-00018-of-00024.gz	137
forevermore	1856	558	350	1	googlebooks-eng-20200217	1-00018-of-00024.gz	138
forevermore	1857	510	356	1	googlebooks-eng-20200217	1-00018-of-00024.gz	139
forevermore	1858	657	346	1	googlebooks-eng-20200217	1-00018-of-00024.gz	140
forevermore	1859	676	386	1	googlebooks-eng-20200217	1-00018-of-00024.gz	141
forevermore	1860	626	396	1	googlebooks-eng-20200217	1-00018-of-00024.gz	142
forevermore	1861	449	295	1	googlebooks-eng-20200217	1-00018-of-00024.gz	143
forevermore	1862	468	219	1	googlebooks-eng-20200217	1-00018-of-00024.gz	144
forevermore	1863	453	256	1	googlebooks-eng-20200217	1-00018-of-00024.gz	145
forevermore	1864	622	369	1	googlebooks-eng-20200217	1-00018-of-00024.gz	146
forevermore	1865	719	385	1	googlebooks-eng-20200217	1-00018-of-00024.gz	147
forevermore	1866	907	506	1	googlebooks-eng-20200217	1-00018-of-00024.gz	148
forevermore	1867	786	473	1	googlebooks-eng-20200217	1-00018-of-00024.gz	149
forevermore	1868	768	443	1	googlebooks-eng-20200217	1-00018-of-00024.gz	150
forevermore	1869	768	443	1	googlebooks-eng-20200217	1-00018-of-00024.gz	151
forevermore	1870	1004	493	1	googlebooks-eng-20200217	1-00018-of-00024.gz	152
forevermore	1871	964	492	1	googlebooks-eng-20200217	1-00018-of-00024.gz	153
forevermore	1872	1123	530	1	googlebooks-eng-20200217	1-00018-of-00024.gz	154
forevermore	1873	869	483	1	googlebooks-eng-20200217	1-00018-of-00024.gz	155
forevermore	1874	774	455	1	googlebooks-eng-20200217	1-00018-of-00024.gz	156
forevermore	1875	810	463	1	googlebooks-eng-20200217	1-00018-of-00024.gz	157
forevermore	1876	992	559	1	googlebooks-eng-20200217	1-00018-of-00024.gz	158
forevermore	1877	849	499	1	googlebooks-eng-20200217	1-00018-of-00024.gz	159
forevermore	1878	864	490	1	googlebooks-eng-20200217	1-00018-of-00024.gz	160
forevermore	1879	899	482	1	googlebooks-eng-20200217	1-00018-of-00024.gz	161
forevermore	1880	1023	512	1	googlebooks-eng-20200217	1-00018-of-00024.gz	162
forevermore	1881	1430	713	1	googlebooks-eng-20200217	1-00018-of-00024.gz	163
forevermore	1882	1082	641	1	googlebooks-eng-20200217	1-00018-of-00024.gz	164
forevermore	1883	1602	852	1	googlebooks-eng-20200217	1-00018-of-00024.gz	165
forevermore	1884	1458	767	1	googlebooks-eng-20200217	1-00018-of-00024.gz	166
forevermore	1885	1524	738	1	googlebooks-eng-20200217	1-00018-of-00024.gz	167
forevermore	1886	1591	861	1	googlebooks-eng-20200217	1-00018-of-00024.gz	168
forevermore	1887	1663	920	1	googlebooks-eng-20200217	1-00018-of-00024.gz	169
forevermore	1888	1732	976	1	googlebooks-eng-20200217	1-00018-of-00024.gz	170
forevermore	1889	1416	833	1	googlebooks-eng-20200217	1-00018-of-00024.gz	171
forevermore	1890	1728	917	1	googlebooks-eng-20200217	1-00018-of-00024.gz	172
forevermore	1891	1592	891	1	googlebooks-eng-20200217	1-00018-of-00024.gz	173
forevermore	1892	2169	1162	1	googlebooks-eng-20200217	1-00018-of-00024.gz	174
forevermore	1893	1652	1005	1	googlebooks-eng-20200217	1-00018-of-00024.gz	175
forevermore	1894	1707	949	1	googlebooks-eng-20200217	1-00018-of-00024.gz	176
forevermore	1895	1725	1010	1	googlebooks-eng-20200217	1-00018-of-00024.gz	177
forevermore	1896	1682	1059	1	googlebooks-eng-20200217	1-00018-of-00024.gz	178
forevermore	1897	1865	1155	1	googlebooks-eng-20200217	1-00018-of-00024.gz	179
forevermore	1898	1643	1104	1	googlebooks-eng-20200217	1-00018-of-00024.gz	180
forevermore	1899	2401	1375	1	googlebooks-eng-20200217	1-00018-of-00024.gz	181
forevermore	1900	2415	1460	1	googlebooks-eng-20200217	1-00018-of-00024.gz	182
forevermore	1901	1890	1218	1	googlebooks-eng-20200217	1-00018-of-00024.gz	183
forevermore	1902	2003	1345	1	googlebooks-eng-20200217	1-00018-of-00024.gz	184
forevermore	1903	1587	1078	1	googlebooks-eng-20200217	1-00018-of-00024.gz	185
forevermore	1904	2357	1369	1	googlebooks-eng-20200217	1-00018-of-00024.gz	186
forevermore	1905	1667	1129	1	googlebooks-eng-20200217	1-00018-of-00024.gz	187
forevermore	1906	1789	1124	1	googlebooks-eng-20200217	1-00018-of-00024.gz	188
forevermore	1907	1818	1147	1	googlebooks-eng-20200217	1-00018-of-00024.gz	189
forevermore	1908	1777	1121	1	googlebooks-eng-20200217	1-00018-of-00024.gz	190
forevermore	1909	2246	1365	1	googlebooks-eng-20200217	1-00018-of-00024.gz	191
forevermore	1910	2047	1326	1	googlebooks-eng-20200217	1-00018-of-00024.gz	192
forevermore	1911	1959	1281	1	googlebooks-eng-20200217	1-00018-of-00024.gz	193
forevermore	1912	1849	1256	1	googlebooks-eng-20200217	1-00018-of-00024.gz	194
forevermore	1913	1907	1238	1	googlebooks-eng-20200217	1-00018-of-00024.gz	195
forevermore	1914	1861	1105	1	googlebooks-eng-20200217	1-00018-of-00024.gz	196
forevermore	1915	1549	1120	1	googlebooks-eng-20200217	1-00018-of-00024.gz	197
forevermore	1916	1634	1229	1	googlebooks-eng-20200217	1-00018-of-00024.gz	198
forevermore	1917	1917	1340	1	googlebooks-eng-20200217	1-00018-of-00024.gz	199
forevermore	1918	1790	1191	1	googlebooks-eng-20200217	1-00018-of-00024.gz	200
forevermore	1919	1819	1272	1	googlebooks-eng-20200217	1-00018-of-00024.gz	201
forevermore	1920	1565	1162	1	googlebooks-eng-20200217	1-00018-of-00024.gz	202
forevermore	1921	1514	1078	1	googlebooks-eng-20200217	1-00018-of-00024.gz	203
forevermore	1922	1598	1045	1	googlebooks-eng-20200217	1-00018-of-00024.gz	204
forevermore	1923	860	600	1	googlebooks-eng-20200217	1-00018-of-00024.gz	205
forevermore	1924	867	526	1	googlebooks-eng-20200217	1-00018-of-00024.gz	206
forevermore	1925	958	660	1	googlebooks-eng-20200217	1-00018-of-00024.gz	207
forevermore	1926	765	571	1	googlebooks-eng-20200217	1-00018-of-00024.gz	208
forevermore	1927	857	623	1	googlebooks-eng-20200217	1-00018-of-00024.gz	209
forevermore	1928	829	595	1	googlebooks-eng-20200217	1-00018-of-00024.gz	210
forevermore	1929	1041	668	1	googlebooks-eng-20200217	1-00018-of-00024.gz	211
forevermore	1930	826	625	1	googlebooks-eng-20200217	1-00018-of-00024.gz	212
forevermore	1931	725	511	1	googlebooks-eng-20200217	1-00018-of-00024.gz	213
forevermore	1932	816	545	1	googlebooks-eng-20200217	1-00018-of-00024.gz	214
forevermore	1933	609	397	1	googlebooks-eng-20200217	1-00018-of-00024.gz	215
forevermore	1934	625	425	1	googlebooks-eng-20200217	1-00018-of-00024.gz	216
forevermore	1935	666	489	1	googlebooks-eng-20200217	1-00018-of-00024.gz	217
forevermore	1936	863	541	1	googlebooks-eng-20200217	1-00018-of-00024.gz	218
forevermore	1937	801	533	1	googlebooks-eng-20200217	1-00018-of-00024.gz	219
forevermore	1938	753	473	1	googlebooks-eng-20200217	1-00018-of-00024.gz	220
forevermore	1939	645	486	1	googlebooks-eng-20200217	1-00018-of-00024.gz	221
forevermore	1940	772	556	1	googlebooks-eng-20200217	1-00018-of-00024.gz	222
forevermore	1941	893	589	1	googlebooks-eng-20200217	1-00018-of-00024.gz	223
forevermore	1942	866	548	1	googlebooks-eng-20200217	1-00018-of-00024.gz	224
forevermore	1943	649	465	1	googlebooks-eng-20200217	1-00018-of-00024.gz	225
forevermore	1944	586	421	1	googlebooks-eng-20200217	1-00018-of-00024.gz	226
forevermore	1945	728	483	1	googlebooks-eng-20200217	1-00018-of-00024.gz	227
forevermore	1946	672	451	1	googlebooks-eng-20200217	1-00018-of-00024.gz	228
forevermore	1947	654	492	1	googlebooks-eng-20200217	1-00018-of-00024.gz	229
forevermore	1948	816	573	1	googlebooks-eng-20200217	1-00018-of-00024.gz	230
forevermore	1949	739	568	1	googlebooks-eng-20200217	1-00018-of-00024.gz	231
forevermore	1950	846	581	1	googlebooks-eng-20200217	1-00018-of-00024.gz	232
forevermore	1951	832	512	1	googlebooks-eng-20200217	1-00018-of-00024.gz	233
forevermore	1952	672	508	1	googlebooks-eng-20200217	1-00018-of-00024.gz	234
forevermore	1953	739	505	1	googlebooks-eng-20200217	1-00018-of-00024.gz	235
forevermore	1954	736	495	1	googlebooks-eng-20200217	1-00018-of-00024.gz	236
forevermore	1955	653	518	1	googlebooks-eng-20200217	1-00018-of-00024.gz	237
